,Tweet,positive_match,negative_match,sentiment
64,the mccain building is closed until at least monday but this is still happening tomorrow the time remains the same but the venue has been changed to the dalhousie university club dining room which happens to be directly upstairs from the pub all welcome ,['welcome'],[],positive
65,building on dalhousie university campus closed after chemicals enter water supply ,[],[],neutral
66,building on dalhousie university campus closed after chemicals enter water supply ,[],[],neutral
67,what is vaccine hesitancy why is it important to get vaccinated we inteviewed dr noni macdonald professor of paediatrics infectious diseases at dalhousie university to get answers to these questions and more vaccines vaccinehesitancy sogctalks ,['important'],[],positive
68,building on dalhousie university campus closed after chemicals enter water supply ,[],[],neutral
69,the mccain building is closed until at least monday but this is still happening tomorrow the time remains the same but the venue has been changed to the dalhousie university club dining room which happens to be directly upstairs from the pub all welcome ,['welcome'],[],positive
70,building on dalhousie university campus closed after chemicals enter water supply ,[],[],neutral
71,the mccain building is closed until at least monday but this is still happening tomorrow the time remains the same but the venue has been changed to the dalhousie university club dining room which happens to be directly upstairs from the pub all welcome ,['welcome'],[],positive
72,the mccain building is closed until at least monday but this is still happening tomorrow the time remains the same but the venue has been changed to the dalhousie university club dining room which happens to be directly upstairs from the pub all welcome ,['welcome'],[],positive
73,billy mcquaid wins the top ems research award at dalhousie university ems research day the dr ron stewart award being presented by dr stewart himself billy is a graduate of the upei bsc in paramedicine program and our first honor student way to go great day for upei ,"['wins', 'top', 'award', 'honor', 'great']",[],positive
74,job opportunity dr sarah burm of dalhousie university is looking for a research coordinator to join a qualitative research study exploring the lived experiences of indigenous medical trainees and practicing physicians see attachment for further details on this opportunity ,[],[],neutral
75,job opportunity dr sarah burm of dalhousie university is looking for a research coordinator to join a qualitative research study exploring the lived experiences of indigenous medical trainees and practicing physicians see attachment for further details on this opportunity ,[],[],neutral
76,building on dalhousie university campus closed after chemicals enter water supply ,[],[],neutral
77,job opportunity dr sarah burm of dalhousie university is looking for a research coordinator to join a qualitative research study exploring the lived experiences of indigenous medical trainees and practicing physicians see attachment for further details on this opportunity ,[],[],neutral
78,job opportunity dr sarah burm of dalhousie university is looking for a research coordinator to join a qualitative research study exploring the lived experiences of indigenous medical trainees and practicing physicians see attachment for further details on this opportunity ,[],[],neutral
79, dalhousie the most extreme lefty university in canada will get to the bottom of western alienation wow news flash for her the east hates the west and could care less if they all lost their jobs homes and lives the east only wants welfare and thats all they care about ,['wow'],"['alienation', 'hates', 'lost']",negative
80, all i see is dalhousie university on her account page ,[],[],neutral
81,fraser university rowan laird from dalhousie and from the premier because i have to disappoint my new tam i got up i dont want to 2 5,['premier'],['disappoint'],neutral
82,nsis november lecture ethnobiology of northeastern turtle island food medicine amp material security jonathan ferrier assistant professor department of biology dalhousie university mon nov 4 2019 7 30pm ns museum of natural history auditorium 1747 summer st halifax ns ,[],[],neutral
83,our 10th episode of battlerhythm is out stef speaks with elikem tsamenyi phd student at dalhousie university about his research on african security governance ,[],[],neutral
84,dalhousie universitys corporate residency master of business administration growing from individual strengths and backgrounds ,['master'],[],positive
85,nsis november lecture ethnobiology of northeastern turtle island food medicine amp material security jonathan ferrier assistant professor department of biology dalhousie university mon nov 4 2019 7 30pm ns museum of natural history auditorium 1747 summer st halifax ns ,[],[],neutral
86, dalhousie s bars minus the university club which is separate are still unable to serve alcohol i ve been following this issue for my latest ,[],"['unable', 'issue']",negative
87,nsis november lecture ethnobiology of northeastern turtle island food medicine amp material security jonathan ferrier assistant professor department of biology dalhousie university mon nov 4 2019 7 30pm ns museum of natural history auditorium 1747 summer st halifax ns ,[],[],neutral
88, dalhousie s bars minus the university club which is separate are still unable to serve alcohol i ve been following this issue for my latest ,[],"['unable', 'issue']",negative
89,dalhousie universitys corporate residency master of business administration growing from individual strengths and backgrounds ,['master'],[],positive
90,dalhousie universitys corporate residency master of business administration growing from individual strengths and backgrounds ,['master'],[],positive
91,dalhousie universitys corporate residency master of business administration growing from individual strengths and backgrounds ,['master'],[],positive
92,halloween and horror movies the science behind being afraid dr simon sherry professor and director of clinical training faculty of science killam prize 2016 dal news dalhousie university ,['prize'],['afraid'],neutral
93,marion mccain arts and social science building dalhousie university is temporary closed due to a mechanical issue no students or faculty allowed into building no emergency crews on scene only campus police ,[],"['issue', 'emergency']",negative
94,marion mccain arts and social science building dalhousie university is temporary closed due to a mechanical issue no students or faculty allowed into building no emergency crews on scene only campus police ,[],"['issue', 'emergency']",negative
95,marion mccain arts and social science building dalhousie university is temporary closed due to a mechanical issue no students or faculty allowed into building no emergency crews on scene only campus police ,[],"['issue', 'emergency']",negative
96,closure at dalhousie university from dal security the situation is being evaluated by our operations team we will update with more information as it becomes available ,['available'],[],positive
97,closure at dalhousie university from dal security the situation is being evaluated by our operations team we will update with more information as it becomes available ,['available'],[],positive
98,our 10th episode of battlerhythm is out stef speaks with elikem tsamenyi phd student at dalhousie university about his research on african security governance ,[],[],neutral
99,our 10th episode of battlerhythm is out stef speaks with elikem tsamenyi phd student at dalhousie university about his research on african security governance ,[],[],neutral
100, cityguidescareermindedsponsorcontent dalhousie universitys corporate residency master of business administration growing from individual strengths and backgrounds ,['master'],[],positive
101, cityguidescareermindedsponsorcontent dalhousie universitys corporate residency master of business administration growing from individual strengths and backgrounds ,['master'],[],positive
102, cityguidescareermindedsponsorcontent dalhousie universitys corporate residency master of business administration growing from individual strengths and backgrounds ,['master'],[],positive
103, emily drake a phd student at dalhousie university co created the hashtag ayacsm adolescent amp young adult cancer societal movement to give young patients amp survivors from around the world a way to connect over social media read her story ,[],['cancer'],negative
104,excited for the launch of yourvoice at dalhousie university a project we have been working on for nearly 6 months dalhousie is an organization that uses its assessment to drive strategy we look at leadership empowerment pyschological and health ri,"['excited', 'empowerment']",[],positive
105,a dalhousie university student wants to build a space industry in nova scotia he hopes to develop contacts to expand the work he started in 2017 when he helped launch the dalhousie space systems lab the canadian space industry is growing ,"['work', 'helped']",[],positive
106,kudos our students aaron dwyer and michael willette won the science communication award for best communication of a science topic to peers at last week s science atlantic mathematics amp computer science conference at dalhousie university ,"['kudos', 'won', 'award', 'best']",[],positive
107, law degree from dalhousie university member of the order of canada a federal mp since 2011 federal party leader since 2006 author of 8 books former federal government senior policy advisor teacher at dalhousie university and queens university school of policy studies ,[],[],neutral
108, anne mclellan is a proud nova scotian born raised educated amp lives there when appointed chancellor of dalhousie university she said ns is amp has always been home deeper amp current alberta roots are required to advise today s liberal minority government on ab issues ,"['proud', 'educated']",['issues'],positive
109, alberta advisor anne mclellan is a proud nova scotian she was born raised educated amp lives in ns when appointed chancellor of dalhousie university she said ns is amp has always been home deeper current alta ties are required to advise today s minority goc,"['proud', 'educated']",[],positive
110,a dalhousie university student wants to build a space industry in nova scotia he hopes to develop contacts to expand the work he started in 2017 when he helped launch the dalhousie space systems lab the canadian space industry is growing ,"['work', 'helped']",[],positive
111,now hiring graduate student in plant biology dalhousie university halifax nova scotia canada jobs,[],[],neutral
112, law degree from dalhousie university member of the order of canada a federal mp since 2011 federal party leader since 2006 author of 8 books former federal government senior policy advisor teacher at dalhousie university and queens university school of policy studies ,[],[],neutral
113,day 17 31 shirreff hall at dalhousie university is haunted by the ghost of peggy who hanged herself upstairs but has not moved on haunted ghosts dalhousie halifax ,[],[],neutral
114,kudos our students aaron dwyer and michael willette won the science communication award for best communication of a science topic to peers at last week s science atlantic mathematics amp computer science conference at dalhousie university ,"['kudos', 'won', 'award', 'best']",[],positive
115,a dalhousie university student wants to build a space industry in nova scotia he hopes to develop contacts to expand the work he started in 2017 when he helped launch the dalhousie space systems lab the canadian space industry is growing ,"['work', 'helped']",[],positive
116,kudos our students aaron dwyer and michael willette won the science communication award for best communication of a science topic to peers at last week s science atlantic mathematics amp computer science conference at dalhousie university ,"['kudos', 'won', 'award', 'best']",[],positive
117,kudos our students aaron dwyer and michael willette won the science communication award for best communication of a science topic to peers at last week s science atlantic mathematics amp computer science conference at dalhousie university ,"['kudos', 'won', 'award', 'best']",[],positive
118, they re waiting to see if anyone notices that their ab advisor was born raised educated amp lives in nova scotia anne mclellan is chancellor of dalhousie university when appointed she said how glad she was because ns is amp always has been home no real albertans available ,"['educated', 'glad', 'available']",[],positive
119,my next short story class begins next wednesday 2p m 4p m dalhousie university of dundee all welcome ,['welcome'],[],positive
120,now hiring graduate student in plant biology dalhousie university halifax nova scotia canada jobs,[],[],neutral
121,now hiring graduate student in plant biology dalhousie university halifax nova scotia canada jobs,[],[],neutral
122, anne mclellan born raised educated amp living in nova scotia when named dalhousie university chancellor she said how proud she was that ns is amp has always been home ask ab amp sask premiers how happy they are with this patronage appointment of a maritimer to represent them ,"['educated', 'proud', 'happy']",[],positive
123,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
124,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
125,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
126,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
127,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
128,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
129,my next short story class begins next wednesday 2p m 4p m dalhousie university of dundee all welcome ,['welcome'],[],positive
130, dalhousie the most extreme lefty university in canada will get to the bottom of western alienation wow news flash for her the east hates the west and could care less if they all lost their jobs homes and lives the east only wants welfare and thats all they care about ,['wow'],"['alienation', 'hates', 'lost']",negative
131,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
132,2 university of alberta 3 uni of british columbia 4 uni of calgary 5 dalhousie university 6 laval university 7 uni of manitoba ,[],[],neutral
133,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
134,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
135,billy mcquaid wins the top ems research award at dalhousie university ems research day the dr ron stewart award being presented by dr stewart himself billy is a graduate of the upei bsc in paramedicine program and our first honor student way to go great day for upei ,"['wins', 'top', 'award', 'honor', 'great']",[],positive
136,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
137,last week dr jonathon fowles eim canada chair conducted an eim educational mini course at dalhousie university the event was well attended and included students from med physio nursing ot and kinesiology exerciseismedicine exercise university acsm ,['well'],[],positive
138,finalizing my career readiness presentation everyone loves a good story whats yours for the electric city hacks iv event this saturday nov 2 4pm at trent university and also on nov 7 5 30pm at dalhousie university for the faculty of computer scie,"['loves', 'good']",['hacks'],positive
139, mclellan represents no one in alberta she is chancellor of dalhousie university the elite cocktail circuit of downtown edmonton loves her she is a liberal ,"['elite', 'loves']",[],positive
140,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
141,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
142, mclellan represents no one in alberta she is chancellor of dalhousie university the elite cocktail circuit of downtown edmonton loves her she is a liberal ,"['elite', 'loves']",[],positive
143, mclellan represents no one in alberta she is chancellor of dalhousie university the elite cocktail circuit of downtown edmonton loves her she is a liberal ,"['elite', 'loves']",[],positive
144,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
145,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
146,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
147,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
148,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
149,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
150,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
151,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
152,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
153,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
154,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
155,last week dr jonathon fowles eim canada chair conducted an eim educational mini course at dalhousie university the event was well attended and included students from med physio nursing ot and kinesiology exerciseismedicine exercise university acsm ,['well'],[],positive
156,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
157,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
158,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
159,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
160,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
161,i got a 100 on my live performance review at school 100 the academic institution of dalhousie university decided that something i wrote was beyond reproach and criticism i will now become unbearably pretentious about all art from here on out ,[],"['reproach', 'criticism', 'pretentious']",negative
162,last week dr jonathon fowles eim canada chair conducted an eim educational mini course at dalhousie university the event was well attended and included students from med physio nursing ot and kinesiology exerciseismedicine exercise university acsm ,['well'],[],positive
163,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
164,go eng girl 2019 event at dalhousie university a free day at dal for female students in grades 7 12 to discover more about engineering put on by the women in engineering society at dal registration ,['free'],[],positive
165,billy mcquaid wins the top ems research award at dalhousie university ems research day the dr ron stewart award being presented by dr stewart himself billy is a graduate of the upei bsc in paramedicine program and our first honor student way to go great day for upei ,"['wins', 'top', 'award', 'honor', 'great']",[],positive
166, mclellan represents no one in alberta she is chancellor of dalhousie university the elite cocktail circuit of downtown edmonton loves her she is a liberal ,"['elite', 'loves']",[],positive
167, mclellan represents no one in alberta she is chancellor of dalhousie university the elite cocktail circuit of downtown edmonton loves her she is a liberal ,"['elite', 'loves']",[],positive
168,last week dr jonathon fowles eim canada chair conducted an eim educational mini course at dalhousie university the event was well attended and included students from med physio nursing ot and kinesiology exerciseismedicine exercise university acsm ,['well'],[],positive
169,dalhousie grad gets long awaited apology from university via tweet cbc news she says it s not good enough it s not even a real apology ,"['good', 'enough']",[],positive
170,we re touring canada and are stopping in halifax on nov 27 join us at the dalhousie university club for our youth innovation mastermindenabling young innovators stakeholders amp executive mentors to share new ideas and solutions for canada s 2030agenda ,['innovation'],[],positive
171,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
172,fresh off her role whitewashing the snc scandal longtime maritimer anne mclellan will try to find time between meetings at dalhousie university in halifax to tell albertans to shut up and stay colonized by ontario ableg cdnpoli wexit ,['fresh'],['scandal'],neutral
173,billy mcquaid wins the top ems research award at dalhousie university ems research day the dr ron stewart award being presented by dr stewart himself billy is a graduate of the upei bsc in paramedicine program and our first honor student way to go great day for upei ,"['wins', 'top', 'award', 'honor', 'great']",[],positive
174,2 university of alberta 3 uni of british columbia 4 uni of calgary 5 dalhousie university 6 laval university 7 uni of manitoba ,[],[],neutral
